specObjID,ra,dec,redshift,z_err,distance,g,r,w1_mag,w2_mag
462815535818631168,45.263599,-0.74329304,0.008809686,5.991706E-06,531.144810921421,15.79239,15.45275,13.00724,13.12485
462814712812300288,45.263599,-0.74329304,0.008815581,6.9243E-06,531.144810921421,15.79239,15.45275,13.00724,13.12485
1693483251588425728,27.63882,0.312449,0.01221374,5.797971E-06,541.091745010732,19.58564,19.4121,17.92371,17.32646
1201391319583320064,45.454275,-0.88261,0.007318183,3.789958E-06,544.142979660648,18.48907,18.42019,16.20458,15.83385
903044331458291712,45.412824,-1.1970309,0.008871548,6.527443E-06,546.291057545611,19.64664,19.29889,16.76437,16.50682
903036634876897280,45.542933,-0.6847095,0.01368859,6.510542E-06,546.80155586013,18.57497,18.16631,16.0243,16.32429
798299354828924928,45.543011,-0.68487225,0.01368288,6.881931E-06,546.808115037363,18.57497,18.16631,16.0243,16.32429
513499999762409472,40.334254,-7.2849824,0.005565504,5.416919E-06,553.41217017686,17.0743,16.76986,14.64746,14.79398
462811962405840896,45.547476,-1.1665568,0.01360661,8.549197E-06,553.635044328973,18.27228,17.76814,15.31329,15.27484
462812788666951680,45.547476,-1.1665568,0.01359679,1.152151E-05,553.635044328973,18.27228,17.76814,15.31329,15.27484
462815811636062208,45.547476,-1.1665568,0.01359812,1.174878E-05,553.635044328973,18.27228,17.76814,15.31329,15.27484
513503848053106688,40.372441,-7.3460899,0.004310396,1.481049E-05,557.684744537539,16.95444,16.48945,14.08722,14.13387
462801243794860032,45.749137,-1.0818215,0.01351278,3.980536E-05,564.119394369523,16.18186,15.671,12.6771,12.74283
462804815580260352,45.749137,-1.0818215,0.01351655,6.383257E-05,564.119394369523,16.18186,15.671,12.6771,12.74283
462804816519784448,45.749137,-1.0818215,0.01363698,5.522067E-05,564.119394369523,16.18186,15.671,12.6771,12.74283
462805091397691392,45.921632,-1.0735545,0.01395331,9.527368E-06,574.059294978316,15.18223,14.54551,11.55318,11.47494
462800144283232256,45.921632,-1.0735545,0.01396853,7.833265E-06,574.059294978316,15.18223,14.54551,11.55318,11.47494
462802891434911744,45.921632,-1.0735545,0.01396411,9.721572E-06,574.059294978316,15.18223,14.54551,11.55318,11.47494
513503573175199744,40.69534,-7.5420834,0.004460077,4.843282E-06,576.367231655183,17.03354,16.79466,14.70701,14.7897
462804540702353408,45.954639,-1.1037323,0.01362531,7.529356E-06,576.408257278081,13.53404,12.48702,9.849485,8.392525
462800693351180288,45.954639,-1.1037323,0.01364263,7.130711E-06,576.408257278081,13.53404,12.48702,9.849485,8.392525
462801793550673920,45.954639,-1.1037323,0.01363066,6.686462E-06,576.408257278081,13.53404,12.48702,9.849485,8.392525
462904047444191232,46.241535,0.95391523,0.0121192,4.179661E-06,577.453847443092,17.86466,17.45079,14.92369,14.46862
462902673742522368,46.241535,0.95391523,0.01212922,3.632906E-06,577.453847443092,17.86466,17.45079,14.92369,14.46862
462903771626760192,46.241535,0.95391523,0.01211142,4.361566E-06,577.453847443092,17.86466,17.45079,14.92369,14.46862
1703521256432756736,46.001593,-1.145219,0.01285946,1.891026E-05,579.734041937719,19.37252,18.74257,16.43658,16.78932
462788597783750656,46.144794,-0.47523169,0.005611976,4.423989E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
798291933125437440,46.144794,-0.47523169,0.00561428,4.673663E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
462786124822112256,46.144794,-0.47523169,0.005608499,4.903908E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
462786400387885056,46.144794,-0.47523169,0.005667516,9.309032E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
799471983946393600,46.144794,-0.47523169,0.005603237,5.286508E-06,579.950487467776,16.89015,16.55675,14.20582,14.05008
798276265084741632,46.052118,-1.1927121,0.01285595,7.192389E-06,583.359793362497,14.75642,14.07566,10.81892,10.72285
751101443112462336,32.45546,-7.7823972,0.01258164,5.879423E-06,591.566109189185,15.90729,15.41329,12.45126,12.27578
512456838088779776,40.458098,-7.9250243,0.004474693,8.794566E-05,591.577446314728,15.32285,14.83306,12.48303,12.53869
903004199283877888,46.192288,-1.202276,0.01442065,2.091308E-05,591.659760420265,18.92915,18.46228,16.02559,16.0456
751085500193859584,32.244491,-7.7667808,0.01286314,6.496168E-06,596.150425540763,13.48697,12.69888,9.710565,9.756075
513507971221710848,40.136815,-8.1476838,0.004741414,1.362135E-05,596.848918060184,14.10086,13.52882,10.8505,10.81261
751087974095022080,32.2708,-7.7936327,0.01257224,2.134918E-05,596.908440770693,17.81074,17.41968,15.01211,15.11705
903130917998979072,46.576332,0.44482816,0.01211159,1.013384E-05,598.986035791995,19.25672,18.81524,16.80308,16.88352
913214270634747904,46.576332,0.444828,0.01212263,1.338539E-05,598.986036490188,19.25672,18.81524,16.80308,16.88352
751089898240370688,32.26408,-7.8472772,0.01252852,1.025479E-05,599.977047889867,16.99603,16.42241,13.86166,13.7414
751086874583394304,32.217964,-7.8464691,0.01326738,3.308985E-05,601.136789322992,16.42358,15.93395,13.44534,13.45591
751090722874091520,32.181584,-7.8304201,0.01349064,6.098387E-06,601.230558860117,15.96162,15.50307,12.61545,12.54227
751150371379898368,33.921564,-8.5080687,0.004621041,3.894884E-05,602.110392256431,19.97143,19.44838,16.94444,16.0879
2614458943228897280,45.004052,6.712361,8.427723E-06,2.00437E-05,602.28509113916,19.6037,18.77225,15.70373,15.78022
513509345611245568,40.396115,-8.1734784,0.005165367,2.937369E-05,603.928032169865,15.75126,15.12536,12.50064,12.47483
512444743460874240,40.396115,-8.1734784,0.005161741,2.415671E-05,603.928032169865,15.75126,15.12536,12.50064,12.47483
751088248972929024,32.158377,-7.9038946,0.01277321,1.253404E-05,605.793126479709,17.05429,16.60582,14.19888,14.25274
1200305001642092544,46.69527,0.4695,0.002372099,2.199311E-05,605.998765705323,18.11449,18.07645,15.50136,15.16774
751075054833395712,32.001363,-7.8652878,0.01304007,5.504633E-06,607.928559407683,16.61351,16.17161,13.57573,13.5767
513493402692642816,40.099867,-8.4335532,0.004575092,1.506168E-05,612.157043858796,13.69847,12.9267,12.07737,11.97231
512305930117867520,40.099867,-8.4335532,0.004572298,1.410763E-05,612.157043858796,13.69847,12.9267,12.07737,11.97231
462907070161643520,46.815145,0.73113707,0.01004623,4.138961E-06,612.293458971701,17.94414,17.55829,15.09456,14.4701
462905422521591808,46.815145,0.73113707,0.010073,6.977172E-06,612.293458971701,17.94414,17.55829,15.09456,14.4701
462907071101167616,46.815145,0.73113707,0.01005632,5.115737E-06,612.293458971701,17.94414,17.55829,15.09456,14.4701
751137177240365056,33.177077,-8.4624278,0.01310624,5.402794E-06,612.953317455269,17.27492,17.02741,15.05413,14.73961
752150102310676480,34.48563,-8.8539592,0.004801086,1.220154E-05,614.244060477634,17.01713,16.45016,14.12747,14.19187
4957424793882482688,27.629525,6.1462506,0.005301212,1.002809E-05,615.600251140272,19.57172,18.8292,12.51223,12.4157
462750115816302592,46.718407,-0.79446982,0.01069669,6.653397E-06,617.247609362502,13.05529,12.16308,10.49697,10.38565
462750389754685440,46.718407,-0.79446982,0.01069968,6.398006E-06,617.247609362502,13.05529,12.16308,10.49697,10.38565
462749841626261504,46.718407,-0.79446982,0.01070494,5.634095E-06,617.247609362502,13.05529,12.16308,10.49697,10.38565
799456865661511680,46.718414,-0.7945045,0.01070627,6.164022E-06,617.248416671913,13.05529,12.16308,10.49697,10.38565
751077803612465152,31.933695,-8.0095778,0.01307816,1.210724E-05,617.466613301436,16.74933,16.47604,14.351,14.27713
751089348484556800,32.23598,-8.173058,0.01275582,3.297009E-05,618.32693177799,15.96673,15.41552,12.87685,12.91412
751149546746177536,33.808263,-8.7734422,0.004924585,6.903437E-06,619.259975196491,17.63418,17.54866,15.61876,15.13453
513487080500783104,40.702897,-8.3990695,0.01443393,9.737568E-06,623.445453496241,15.73236,15.04384,12.2963,12.30745
511175632147736576,37.941656,-9.1465643,0.005386648,4.871409E-06,623.467230889805,16.5397,16.40737,14.23453,13.9839
752164945717651456,34.213319,-8.9639992,0.01319968,1.824006E-05,624.248259121064,15.15698,14.67645,12.10213,12.17109
1212606888412211200,26.401111,-0.8162,0.00820343,9.429024E-06,624.341550855804,18.76142,18.54358,16.62726,18.0246
752142955485095936,34.720454,-9.205221,0.01270789,4.354687E-06,632.200246342552,18.12415,18.29144,16.29243,15.6003
513571468018214912,42.166647,-7.8134155,0.00483179,5.870174E-06,632.576114218927,17.25333,16.95955,14.88927,14.76493
514621226593839104,42.294947,-7.8234537,0.00458437,6.011059E-06,637.147239712409,14.99993,14.87428,15.56287,15.18656
514619852204304384,42.288848,-7.8409408,0.004324432,4.861822E-06,637.838580280252,14.32972,13.95512,11.61215,11.63371
752145704264165376,34.590142,-9.2910939,0.01271249,5.93601E-06,638.699994321238,15.32918,15.01426,12.85713,12.67974
752106396723472384,35.479904,-9.4767221,0.01231098,4.462631E-06,641.847490858032,16.33406,16.20446,14.18843,14.08494
904165558021285888,47.136972,-0.9939698,0.008772426,1.855751E-05,644.211159208448,18.54286,18.30678,16.63422,16.02619
904171606241208320,47.136972,-0.9939698,0.008746407,1.138827E-05,644.211159208448,18.54286,18.30678,16.63422,16.02619
904171880766793728,47.136972,-0.9939698,0.008751718,3.361152E-05,644.211159208448,18.54286,18.30678,16.63422,16.02619
4941608868923070464,38.865625,-9.356194,0.005043335,1.844521E-05,645.143124120186,13.08554,12.28408,12.36519,12.20862
752117116961843200,35.245056,-9.5285808,0.01272559,5.600801E-06,646.571292833022,16.62609,16.26609,13.84127,13.75618
749994784424224768,30.992966,-8.0489583,0.01319938,2.055823E-05,646.975295828944,17.93656,17.61752,15.34044,15.1864
751109139693856768,32.498891,-8.8364338,0.005223464,5.243679E-06,648.405100076991,15.47616,15.17214,12.78472,12.80089
1212635750592440320,25.805677,-0.047452,0.01054868,6.180273E-06,652.725706732162,18.71217,18.52832,15.69208,15.3147
