# galaxyname  systvel   systvel_err v   sigma   v_err   sig_err
1142116	37.13	4.19	12.39	47.26	5.40	12.40
1876887	22.92	11.47	17.47	40.23	10.06	33.57
1904061	-9.45	11.25	12.89	46.05	9.94	26.60
2502521	-7.48	10.86	16.85	46.36	9.55	24.51
281238	9.16	13.94	13.43	77.61	10.99	32.95
821857	19.57	15.26	26.76	261.70	14.35	12.79
1126100	-77.26	8.05	22.95	50.08	5.65	16.43
1158932	-29.59	14.59	17.30	76.20	13.13	15.14
1180506	-49.34	16.63	32.89	28.50	13.88	23.57
1782069	2.39	2.76	33.10	38.75	4.13	12.53
1785212	-0.64	7.71	15.59	54.15	7.65	19.13
866934	-12.66	16.24	28.41	59.84	11.49	40.78
825059	10.76	7.95	11.29	42.37	6.89	33.75
1063413	-66.32	3.34	26.27	45.00	7.95	30.58
1074435	5.25	2.57	43.73	75.98	32.64	39.41
1228631	-14.93	5.22	15.25	52.40	9.11	16.24
1246626	-19.61	13.14	31.17	108.78	13.88	12.70
955106	24.46	9.95	10.77	36.50	8.33	16.73
1280160	1.77	8.48	5.47	42.35	6.91	19.15
control757	58.457	9.43	17.63	55.65	10.40	33.89
control801	17.67	15.22	22.36	34.95	10.92	16.41
control872	35.38	4.95	16.88	32.96	6.42	19.88
control842	33.73	11.62	11.71	27.98	10.66	25.26
PiscesB	35.51	8.06	19.67	229.60	17.10	31.70
control751	-205.91	6.22	13.65	49.86	6.89	29.73
control775	39.28	8.38	15.15	39.35	8.61	32.17
reines65	62.39	4.09    36.34	67.69	10.17	39.40
